bck,cen,brd
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.012406562,0.012406562,0.012406562
0.036911951,0.036911952,0.036913798
0.073030196,0.073030208,0.073039144
0.120101353,0.120101418,0.12012711
0.177295635,0.177295892,0.177352734
0.243618538,0.243619343,0.243725946
0.317918387,0.317920513,0.318098376
0.398897886,0.398902831,0.399174274
0.485131176,0.485141558,0.485527151
0.575087572,0.575107626,0.5756234
0.66716265,0.667198761,0.667853605
0.759716504,0.759777738,0.7605714
0.851118124,0.851216686,0.852138777
0.939793813,0.939945369,0.940975698
1.024276737,1.024500554,1.025610973
1.103254049,1.103572947,1.104730676
1.175607842,1.176047982,1.177220217
1.24044647,1.241037036,1.24219641
1.29712354,1.297896401,1.299026747
1.345243067,1.346232501,1.34733431
1.384650719,1.385893261,1.386988247
1.415412517,1.416946962,1.418081278
1.437783594,1.439651118,1.440896945
1.452170451,1.454414809,1.455870249
1.45909052,1.461758203,1.463545625
1.45913264,1.462272904,1.464536032
1.452921491,1.456586166,1.459486312
1.441088128,1.445331144,1.449043004
1.424247761,1.429124365,1.43383179
1.402984955,1.40855066,1.414442683
1.377845637,1.384154938,1.391422309
1.349334731,1.356439698,1.365271997
1.317917934,1.325866763,1.336450137
1.284026087,1.292861732,1.30537717
1.248060726,1.257819694,1.272441767
1.210399637,1.221111035,1.238006961
1.171401576,1.183086458,1.202415389
1.131409618,1.144080686,1.165993104
1.090752942,1.10441459,1.129051751
1.049747076,1.064395849,1.091889262
1.008692833,1.024318208,1.054789111
0.967874279,0.984459668,1.018018468
0.927556117,0.945080029,0.981825732
0.887980891,0.906418187,0.946437858
0.849366359,0.868689521,0.91205781
0.811903296,0.832083667,0.878862442
0.775753963,0.796762872,0.84700099
